Tag,Recap,Catch_Date,Catch_Site,Bottom_Type,Sex,Maturity,Fork_Length,Total_Length,Girth,SST,Salinity,DO,Secchi,Lactate,Redeploy,Photo_Type,Photo_WB,Hex,H,S,Br,R,G,B,Color_Category,Photo_Link,Notes,,,,,,,,,,
UM00213,,3/20/25,,,,,,,,,,,,,,Color Swatch,TRUE,#BC9D6C,37,43,74,188,157,108,,,,,,,,,,,,,
UM00214,,3/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#704D32,26,55,44,112,77,50,,,,,,,,,,,,,
UM00215,,3/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#764C33,22,57,46,118,76,51,,,,,,,,,,,,,
UM00216,,4/3/25,,,,,,,,,,,,,,Color Swatch,TRUE,#A17451,26,50,63,161,116,81,,,,,,,,,,,,,
UM00135,,4/13/25,,,,,,,,,,,,,,Color Swatch,TRUE,#74422A,19,64,45,116,66,42,,,,,,,,,,,,,
UM00218,,4/13/25,,,,,,,,,,,,,,Color Swatch,TRUE,#885A38,25,59,53,136,90,56,,,,,,,,,,,,,
UM00219,,4/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#62412D,23,54,38,98,65,45,,,,,,,,,,,,,
UM00220,,4/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#71543D,27,46,44,113,84,61,,,,,,,,,,,,,
UM00222,,4/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6B4B37,23,49,42,107,75,55,,,,,,,,,,,,,
UM00223,,4/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7E5A3D,27,52,49,126,90,61,,,,,,,,,,,,,
UM00230,,4/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#775437,27,54,47,119,84,55,,,,,,,,,,,,,
FS1364,,4/29/25,,,,,,,,,,,,,,Color Swatch,TRUE,#A98154,32,50,66,169,129,84,,,,,,,,,,,,,
UM00224,,5/4/25,,,,,,,,,,,,,,Color Swatch,TRUE,#755945,25,41,46,117,89,69,,,,,,,,,,,,,
UM00225,,5/6/25,,,,,,,,,,,,,,Color Swatch,TRUE,#856851,27,39,52,133,104,81,,,,,,,,,,,,,
UM00229,,5/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#95694E,23,48,58,149,105,78,,,,,,,,,,,,,
UM00228,,5/10/25,,,,,,,,,,,,,,Color Swatch,TRUE,#4D3C42,339,22,30,77,60,66,,,,,,,,,,,,,
UM00239,,5/16/25,,,,,,,,,,,,,,Color Swatch,TRUE,#996C44,28,56,60,153,108,68,,,,,,,,,,,,,
UM00240,,5/16/25,,,,,,,,,,,,,,Color Swatch,TRUE,#75553A,27,50,46,117,85,58,,,,,,,,,,,,,
UM00242,,5/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6A402F,17,56,42,106,64,47,,,,,,,,,,,,,
UM00243,,5/22/25,,,,,,,,,,,,,,Color Swatch,TRUE,#936F4E,29,47,58,147,111,78,,,,,,,,,,,,,
UM00245,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#AF8561,28,45,69,175,133,97,,,,,,,,,,,,,
UM00246,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7C6048,28,42,49,124,96,72,,,,,,,,,,,,,
UM00247,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#AF8055,29,51,69,175,128,85,,,,,,,,,,,,,
UM00249,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#9C643E,24,60,61,156,100,62,,,,,,,,,,,,,
UM00237,,5/30/25,,,,,,,,,,,,,,Color Swatch,TRUE,#B18353,31,53,69,177,131,83,,,,,,,,,,,,,
UM00248,,6/2/25,,,,,,,,,,,,,,Color Swatch,TRUE,#976C4C,26,50,59,151,108,76,,,,,,,,,,,,,
